outcome,AUROC,AUPRC,quantile_split,quantile_assignment,metab
bpd_any,0.6997051079515534,0.7046594415267466,C18OH_quant_5,0.0,C18OH
bpd_any,0.715526593701997,0.7143403153547057,C18OH_quant_5,1.0,C18OH
bpd_any,0.7366932590435187,0.7455474347022713,C18OH_quant_5,2.0,C18OH
ivh_any,0.7019101710406058,0.6890037636058808,C18OH_quant_5,0.0,C18OH
ivh_any,0.7078935028054054,0.6950231773183014,C18OH_quant_5,1.0,C18OH
ivh_any,0.7353914753587631,0.7311411783705329,C18OH_quant_5,2.0,C18OH
nec_any,0.694009943795936,0.8823940523753397,C18OH_quant_5,0.0,C18OH
nec_any,0.6882038701843038,0.8590205176096037,C18OH_quant_5,1.0,C18OH
nec_any,0.7082605404146285,0.8687000666586439,C18OH_quant_5,2.0,C18OH
rop_any,0.6765365497076022,0.6220408626767395,C18OH_quant_5,0.0,C18OH
rop_any,0.6907848907979068,0.631396236896289,C18OH_quant_5,1.0,C18OH
rop_any,0.7112809729483973,0.6628704025634304,C18OH_quant_5,2.0,C18OH
bpd_any,0.6739171697344543,0.6329196232204711,C081_quant_5,0.0,C081
bpd_any,0.7330139209395696,0.7169896224753226,C081_quant_5,1.0,C081
bpd_any,0.7201954248664444,0.7226875932411414,C081_quant_5,2.0,C081
bpd_any,0.7282737502570816,0.7678068978135507,C081_quant_5,3.0,C081
bpd_any,0.6833222182321859,0.7047313694132424,C081_quant_5,4.0,C081
ivh_any,0.6938758236030489,0.6176067073995717,C081_quant_5,0.0,C081
ivh_any,0.7273520596513031,0.6868550903693954,C081_quant_5,1.0,C081
ivh_any,0.7218728962860048,0.7109879109323279,C081_quant_5,2.0,C081
ivh_any,0.7004238480089258,0.7306604641239374,C081_quant_5,3.0,C081
ivh_any,0.6805544386108016,0.7183421561482726,C081_quant_5,4.0,C081
nec_any,0.6631752242794425,0.8310321094178431,C081_quant_5,0.0,C081
nec_any,0.7227709288990827,0.8777069032534448,C081_quant_5,1.0,C081
nec_any,0.681756078918454,0.8647488368861584,C081_quant_5,2.0,C081
nec_any,0.6990851365631217,0.8953463317186976,C081_quant_5,3.0,C081
nec_any,0.6855422482705248,0.8551271366521735,C081_quant_5,4.0,C081
rop_any,0.6563220046082949,0.5636228942343812,C081_quant_5,0.0,C081
rop_any,0.7210036356406396,0.6446230605106882,C081_quant_5,1.0,C081
rop_any,0.7008399576643322,0.646098068345534,C081_quant_5,2.0,C081
rop_any,0.6881555711087524,0.6828005462650261,C081_quant_5,3.0,C081
rop_any,0.661663075515072,0.607277044552468,C081_quant_5,4.0,C081
bpd_any,0.771299780131302,0.7343548965563222,RF_Y_quant_5,0.0,RF_Y
bpd_any,0.7177320373546787,0.7394912078911827,RF_Y_quant_5,1.0,RF_Y
bpd_any,0.7160599050286132,0.7446543179758178,RF_Y_quant_5,2.0,RF_Y
bpd_any,0.6828025086551673,0.6811463088205024,RF_Y_quant_5,3.0,RF_Y
bpd_any,0.6543682342567964,0.6853343901250737,RF_Y_quant_5,4.0,RF_Y
ivh_any,0.7729005342457531,0.7030071742916163,RF_Y_quant_5,0.0,RF_Y
ivh_any,0.7142606790799562,0.7284784365310548,RF_Y_quant_5,1.0,RF_Y
ivh_any,0.7069254329709764,0.7231137753237677,RF_Y_quant_5,2.0,RF_Y
ivh_any,0.6788563980505496,0.6618420588484455,RF_Y_quant_5,3.0,RF_Y
ivh_any,0.6563224735668295,0.6808025781562939,RF_Y_quant_5,4.0,RF_Y
nec_any,0.7520576131687242,0.8631376951420988,RF_Y_quant_5,0.0,RF_Y
nec_any,0.6776342975206611,0.859686686416099,RF_Y_quant_5,1.0,RF_Y
nec_any,0.6874586267075886,0.8706275830067588,RF_Y_quant_5,2.0,RF_Y
nec_any,0.6706185364319139,0.8778318546187595,RF_Y_quant_5,3.0,RF_Y
nec_any,0.6615555103240833,0.8738863176491475,RF_Y_quant_5,4.0,RF_Y
rop_any,0.7570199932308287,0.6712903563037815,RF_Y_quant_5,0.0,RF_Y
rop_any,0.6807304718741669,0.6406822397023486,RF_Y_quant_5,1.0,RF_Y
rop_any,0.6820006346184356,0.655952758182806,RF_Y_quant_5,2.0,RF_Y
rop_any,0.6622706770238115,0.5958263525162658,RF_Y_quant_5,3.0,RF_Y
rop_any,0.6472807339254487,0.6124955287855446,RF_Y_quant_5,4.0,RF_Y
bpd_any,0.6691297614922819,0.6166544908757547,ALA_quant_5,0.0,ALA
bpd_any,0.7067536071032187,0.7110338469026616,ALA_quant_5,1.0,ALA
bpd_any,0.735333500411729,0.7177601022286699,ALA_quant_5,2.0,ALA
bpd_any,0.7245097098249993,0.7412677831599365,ALA_quant_5,3.0,ALA
bpd_any,0.708174643234066,0.7652847370013904,ALA_quant_5,4.0,ALA
ivh_any,0.6703404988241529,0.6191940904057059,ALA_quant_5,0.0,ALA
ivh_any,0.7059441957147425,0.7112469452693098,ALA_quant_5,1.0,ALA
ivh_any,0.7088425047438329,0.6916331292487546,ALA_quant_5,2.0,ALA
ivh_any,0.7230374938204148,0.6945344473310533,ALA_quant_5,3.0,ALA
ivh_any,0.745405179615706,0.7638065373750921,ALA_quant_5,4.0,ALA
nec_any,0.6409691629955947,0.7980853642824643,ALA_quant_5,0.0,ALA
nec_any,0.7058948939345486,0.8657233558360669,ALA_quant_5,1.0,ALA
nec_any,0.6859405753886407,0.8669826740638937,ALA_quant_5,2.0,ALA
nec_any,0.7284357821089454,0.9065408105470906,ALA_quant_5,3.0,ALA
nec_any,0.6867308523763826,0.8789386007891475,ALA_quant_5,4.0,ALA
rop_any,0.6485930291119383,0.530865734605445,ALA_quant_5,0.0,ALA
rop_any,0.6711634768955902,0.6160815065273458,ALA_quant_5,1.0,ALA
rop_any,0.7106408644851706,0.6437047448792919,ALA_quant_5,2.0,ALA
rop_any,0.7120909130004731,0.660715263434223,ALA_quant_5,3.0,ALA
rop_any,0.6887232265806893,0.6847670567310532,ALA_quant_5,4.0,ALA
bpd_any,0.7123530375650321,0.7154063474360627,C03DC_quant_5,0.0,C03DC
bpd_any,0.6840332675811739,0.7084838846522514,C03DC_quant_5,1.0,C03DC
bpd_any,0.7048500244715314,0.7283983476324444,C03DC_quant_5,2.0,C03DC
bpd_any,0.7243550885022586,0.738035670107633,C03DC_quant_5,3.0,C03DC
bpd_any,0.7354268274134838,0.6970927958781521,C03DC_quant_5,4.0,C03DC
ivh_any,0.6868641937105946,0.6727083133182334,C03DC_quant_5,0.0,C03DC
ivh_any,0.6837657293770389,0.6979571883667524,C03DC_quant_5,1.0,C03DC
ivh_any,0.7099839587111174,0.722485017323463,C03DC_quant_5,2.0,C03DC
ivh_any,0.7150843017056006,0.7015530633853653,C03DC_quant_5,3.0,C03DC
ivh_any,0.7508495473065507,0.7176876889946906,C03DC_quant_5,4.0,C03DC
nec_any,0.6611832524271846,0.8589880787232965,C03DC_quant_5,0.0,C03DC
nec_any,0.662755615152531,0.8722144212096865,C03DC_quant_5,1.0,C03DC
nec_any,0.7225736879942488,0.894304656579384,C03DC_quant_5,2.0,C03DC
nec_any,0.6891081862120314,0.8678538561780308,C03DC_quant_5,3.0,C03DC
nec_any,0.7277866729921525,0.8571123866155524,C03DC_quant_5,4.0,C03DC
rop_any,0.6699199954445805,0.5924654398761594,C03DC_quant_5,0.0,C03DC
rop_any,0.6751516665342068,0.6515560845485884,C03DC_quant_5,1.0,C03DC
rop_any,0.682202238643773,0.6600516829733303,C03DC_quant_5,2.0,C03DC
rop_any,0.6927869986065232,0.6472600737314642,C03DC_quant_5,3.0,C03DC
rop_any,0.7216047971582817,0.6296452191122022,C03DC_quant_5,4.0,C03DC
bpd_any,0.6817352654026001,0.7066249308593381,R3_2_quant_5,0.0,R3_2
bpd_any,0.7120007209805336,0.7583500639315552,R3_2_quant_5,1.0,R3_2
bpd_any,0.714730927417019,0.6887131211314137,R3_2_quant_5,2.0,R3_2
bpd_any,0.7287169578962714,0.7178719298396284,R3_2_quant_5,3.0,R3_2
bpd_any,0.732795794199303,0.7170649266895932,R3_2_quant_5,4.0,R3_2
ivh_any,0.6813989722757496,0.732642824943234,R3_2_quant_5,0.0,R3_2
ivh_any,0.7174442597581246,0.7451254808996512,R3_2_quant_5,1.0,R3_2
ivh_any,0.7303109311926083,0.7182767584015152,R3_2_quant_5,2.0,R3_2
ivh_any,0.7120059216610177,0.676081820883522,R3_2_quant_5,3.0,R3_2
ivh_any,0.7181923366698957,0.6532111113096831,R3_2_quant_5,4.0,R3_2
nec_any,0.6531640773020082,0.8715050714792497,R3_2_quant_5,0.0,R3_2
nec_any,0.6819819463140391,0.868800422252786,R3_2_quant_5,1.0,R3_2
nec_any,0.6702537744940571,0.8796288609106946,R3_2_quant_5,2.0,R3_2
nec_any,0.7082517311857479,0.8638964019622278,R3_2_quant_5,3.0,R3_2
nec_any,0.7308031384995151,0.8708495811949573,R3_2_quant_5,4.0,R3_2
rop_any,0.6565314926163982,0.6367596854271897,R3_2_quant_5,0.0,R3_2
rop_any,0.6750281907784831,0.6543777001535294,R3_2_quant_5,1.0,R3_2
rop_any,0.694044869832967,0.6432289527990253,R3_2_quant_5,2.0,R3_2
rop_any,0.7095855158206781,0.633172874111164,R3_2_quant_5,3.0,R3_2
rop_any,0.7063512145748987,0.6179996355268276,R3_2_quant_5,4.0,R3_2
bpd_any,0.7393403813138159,0.7432354867324688,VAL_quant_5,0.0,VAL
bpd_any,0.7180268158783784,0.7415941690817216,VAL_quant_5,1.0,VAL
